"0","myRidit = claims[1:502,26:45]"
"0",""
"0","myRiditPCA=princomp(~ ., data = myRidit, cor = TRUE)"
"0","summary(myRiditPCA)"
"1","Importance of components:
"
"1","                      "
"1","     Comp.1"
"1","     Comp.2"
"1","    Comp.3"
"1","     Comp.4"
"1","     Comp.5"
"1","     Comp.6"
"1","     Comp.7"
"1","     Comp.8"
"1","    Comp.9"
"1","
Standard deviation    "
"1"," 1.16093641"
"1"," 1.14337267"
"1"," 1.1141535"
"1"," 1.10358813"
"1"," 1.08289782"
"1"," 1.07303928"
"1"," 1.05489064"
"1"," 1.03805619"
"1"," 1.0303242"
"1","
Proportion of Variance"
"1"," 0.06738867"
"1"," 0.06536505"
"1"," 0.0620669"
"1"," 0.06089534"
"1"," 0.05863338"
"1"," 0.05757067"
"1"," 0.05563971"
"1"," 0.05387803"
"1"," 0.0530784"
"1","
Cumulative Proportion "
"1"," 0.06738867"
"1"," 0.13275372"
"1"," 0.1948206"
"1"," 0.25571596"
"1"," 0.31434934"
"1"," 0.37192001"
"1"," 0.42755972"
"1"," 0.48143775"
"1"," 0.5345161"
"1","
"
"1","                      "
"1","    Comp.10"
"1","    Comp.11"
"1","    Comp.12"
"1","   Comp.13"
"1","    Comp.14"
"1","   Comp.15"
"1","    Comp.16"
"1","    Comp.17"
"1","    Comp.18"
"1","
Standard deviation    "
"1"," 1.01625379"
"1"," 1.00279553"
"1"," 0.96761794"
"1"," 0.9577182"
"1"," 0.94453383"
"1"," 0.9220478"
"1"," 0.90183907"
"1"," 0.88672695"
"1"," 0.85699268"
"1","
Proportion of Variance"
"1"," 0.05163859"
"1"," 0.05027994"
"1"," 0.04681422"
"1"," 0.0458612"
"1"," 0.04460721"
"1"," 0.0425086"
"1"," 0.04066569"
"1"," 0.03931423"
"1"," 0.03672182"
"1","
Cumulative Proportion "
"1"," 0.58615474"
"1"," 0.63643468"
"1"," 0.68324890"
"1"," 0.7291101"
"1"," 0.77371732"
"1"," 0.8162259"
"1"," 0.85689160"
"1"," 0.89620584"
"1"," 0.93292766"
"1","
"
"1","                      "
"1","    Comp.19"
"1","    Comp.20"
"1","
Standard deviation    "
"1"," 0.82560990"
"1"," 0.81229003"
"1","
Proportion of Variance"
"1"," 0.03408159"
"1"," 0.03299075"
"1","
Cumulative Proportion "
"1"," 0.96700925"
"1"," 1.00000000"
"1","
"
